id,fname,lname,bm,bd
A1,STEFAN,MUELLER,8,13
A2,OTTO,WERNER,4,12
A3,HEINZ,LEHMANN,9,25
A4,WERNER,KOERTIG,11,28
A5,PETEVR,FUCHS,9,12
A6,DIETER,WEISS,1,10
A7,JUERGEN,FRANKE,7,4
A8,JOERG,KELLER,6,26
A9,GERD,BAUERH,7,27
A10,THORSKTEN,MARTIN,11,15
A11,CARSTEN,MEIER,7,22
A12,MATTHIAS,HAAS,7,8
A13,STEFAN,BRAUN,12,30
A14,JUERGEN,SCHMIDT,7,23
A15,JAN,SCHAEFER,5,25
A16,GERHARD,SCHAEFER,4,29
A17,MARTIN,HERRMANN,8,13
A18,HARALD,BECKER,2,24
A19,SVEN,SCHUMACHER,2,27
A20,MICHAEL,FISCHER,7,1
A21,WOLFGANG,SCHMITT,11,29
A22,PETER,BRANDT,4,1
A23,KARL,KAISER,9,12
A24,WOLFGANG,SEIDEL,2,5
A25,HOLGER,FISCHER,4,15
A26,CHRISTIAN,GROSS,4,7
A27,HANS,SCHULZE,11,27
A28,MANFRED,KLEIN,8,3
A29,STEFAN,SCHULZ,9,12
A30,GERD,SCHAEFER,8,1
A31,GERHARD,MEYER,11,25
A32,ANDREAS,ZIEGLER,5,5
A33,JENS,SCHMIDT,1,10
A34,STEFAN,MUELLER,6,7
A35,THOMAS,HUBER,11,29
A36,MARTIN,SCHROEDER,2,3
A37,DIETER,BOEHM,7,1
A38,UWE,MEIER,9,20
A39,DIETER,WINTER,8,20
A40,FRANK,MUELLDR,5,20
A41,HORST,ENGEL,2,27
A42,WOLFGANG,WOLF,12,28
A43,ANDREAS,MAYER,12,24
A44,THORSTEN,WEBER,11,21
A45,PETER,WINTER,8,18
A46,WALTER,SCHNEIDER,8,26
A47,FRIEDRICH,PETERS,10,16
A48,FRANK,SCHMIDT,6,13
A49,HEINZ,BOEHM,12,20
A50,MANFRED,HOFFMANN,8,25
A51,THORSTEN,FUCHS,9,27
A52,MANFRED,BECKER,7,27
A53,MICHAEL,HAHN,2,27
A54,WOLFGANG,LEHMANN,1,3
A55,ANDREAS,SCHUMACHER,7,7
A56,GERHARD,MEYER,12,3
A57,MICHAEL,SCHAEFER,5,30
A58,RALF,KRUEGER,1,13
A59,CHRISTIAN,SCHULZ,5,18
A60,PETER,ZIMMERMANN,2,10
A61,DANIEL,SCHMIDT,3,4
A62,KLAUS,SCHUBERT,10,6
A63,HARTMUT,HOFFMANN,12,29
A64,KURT,SCHMIDT,4,27
A65,DETLEF,SCHMIDT,4,6
A66,ALEXANDER,MUELLER,9,9
A67,ANDREAS,KUEHN,11,2
A68,HORST,KRAUSE,8,28
A69,MARTIN,KUEHN,10,8
A70,KARL,WEBER,10,14
A71,WERNER,KRAEMER,1,1
A72,BERND,SEIDEL,2,16
A73,ANDRE,FISCHER,6,25
A74,SIEGFRIED,BRANDT,2,14
A75,JOHANNES,MUELLER,12,16
A76,STEFAN,WOLFF,9,2
A77,GUENTHER,ZIMMERMANN,1,19
A78,BERND,FRANK,1,30
A79,JUERGEN,MEIER,7,7
A80,DIETER,NEUMANN,6,20
A81,HANS,SCHAEFER,6,22
A82,WALTER,FISCHER,4,7
A83,GERD,BAUER,7,27
A84,BENJAMIN,MUELLER,4,19
A85,HARTMHUT,HOFFMSNN,12,29
A86,HERMANN,MAIER,10,12
A87,THORSTEN,KLEIN,9,20
A88,HELMUT,MUELLER,7,30
A89,THORSTEN,HARTMANN,3,11
A90,ROBERT,HARTMANN,4,30
A91,DENNIS,SCHAEFER,4,11
A92,PETER,JUNG,1,9
A93,HOLGER,SCHNEIDER,4,2
A94,RAINER,KOCH,8,18
A95,BERND,JUNG,1,14
A96,KARL,HOFFMANN,10,21
A97,JUERGEN,MUELLER,11,22
A98,SVEN,BRAUN,1,22
A99,PETER,SCHULZ,7,19
A100,PETER,BRAUN,11,19
